tvl
"{'date': 1627344000, 'totalLiquidityUSD': 1252538669.0069706}"
"{'date': 1627430400, 'totalLiquidityUSD': 1284465943.6547513}"
"{'date': 1627516800, 'totalLiquidityUSD': 1295127350.8695679}"
"{'date': 1627603200, 'totalLiquidityUSD': 1316619695.1623425}"
"{'date': 1627689600, 'totalLiquidityUSD': 1378095416.167379}"
"{'date': 1627776000, 'totalLiquidityUSD': 1414579048.2511535}"
"{'date': 1627862400, 'totalLiquidityUSD': 1388338657.7633343}"
"{'date': 1627948800, 'totalLiquidityUSD': 1400969559.998006}"
"{'date': 1628035200, 'totalLiquidityUSD': 1371590620.526287}"
"{'date': 1628121600, 'totalLiquidityUSD': 1446086148.759125}"
"{'date': 1628208000, 'totalLiquidityUSD': 1482612155.5000343}"
"{'date': 1628294400, 'totalLiquidityUSD': 1506730593.9070837}"
"{'date': 1628380800, 'totalLiquidityUSD': 1581825828.2771797}"
"{'date': 1628467200, 'totalLiquidityUSD': 1527621492.5180132}"
"{'date': 1628553600, 'totalLiquidityUSD': 1594413713.425499}"
"{'date': 1628640000, 'totalLiquidityUSD': 1595715654.755279}"
"{'date': 1628726400, 'totalLiquidityUSD': 1627147564.6906037}"
"{'date': 1628812800, 'totalLiquidityUSD': 1537710364.0453434}"
"{'date': 1628899200, 'totalLiquidityUSD': 1665827115.1978543}"
"{'date': 1628985600, 'totalLiquidityUSD': 1650337849.5577197}"
"{'date': 1629072000, 'totalLiquidityUSD': 1651112427.3685105}"
"{'date': 1629158400, 'totalLiquidityUSD': 1610209905.8996983}"
"{'date': 1629244800, 'totalLiquidityUSD': 1542036316.9388802}"
"{'date': 1629331200, 'totalLiquidityUSD': 1543732771.9213355}"
"{'date': 1629417600, 'totalLiquidityUSD': 1592696672.487362}"
"{'date': 1629504000, 'totalLiquidityUSD': 1658140138.4035835}"
"{'date': 1629590400, 'totalLiquidityUSD': 1655724040.3921912}"
"{'date': 1629676800, 'totalLiquidityUSD': 1659201015.3734283}"
"{'date': 1629763200, 'totalLiquidityUSD': 1687577117.2423441}"
"{'date': 1629849600, 'totalLiquidityUSD': 1580103031.5350523}"
"{'date': 1629936000, 'totalLiquidityUSD': 1618462772.7067442}"
"{'date': 1630022400, 'totalLiquidityUSD': 1562814442.683614}"
"{'date': 1630108800, 'totalLiquidityUSD': 1635457499.316425}"
"{'date': 1630195200, 'totalLiquidityUSD': 1586406476.9846098}"
"{'date': 1630281600, 'totalLiquidityUSD': 1592266850.7799718}"
"{'date': 1630368000, 'totalLiquidityUSD': 1562667333.1513534}"
"{'date': 1630454400, 'totalLiquidityUSD': 1623073142.3470128}"
"{'date': 1630540800, 'totalLiquidityUSD': 1722232567.7086816}"
"{'date': 1630627200, 'totalLiquidityUSD': 1710766602.2852259}"
"{'date': 1630713600, 'totalLiquidityUSD': 1737235122.9935453}"
"{'date': 1630800000, 'totalLiquidityUSD': 1725486327.7644012}"
"{'date': 1630886400, 'totalLiquidityUSD': 1806068383.3986845}"
"{'date': 1630972800, 'totalLiquidityUSD': 1825286458.879745}"
"{'date': 1631059200, 'totalLiquidityUSD': 1566179254.7077646}"
"{'date': 1631145600, 'totalLiquidityUSD': 1572579049.3253965}"
"{'date': 1631232000, 'totalLiquidityUSD': 1563805392.9160385}"
"{'date': 1631318400, 'totalLiquidityUSD': 1481251394.912395}"
"{'date': 1631404800, 'totalLiquidityUSD': 1501064000.6068666}"
"{'date': 1631491200, 'totalLiquidityUSD': 1561948519.6506226}"
"{'date': 1631577600, 'totalLiquidityUSD': 1496784114.2223923}"
"{'date': 1631664000, 'totalLiquidityUSD': 1585839125.607606}"
"{'date': 1631750400, 'totalLiquidityUSD': 1627670966.434083}"
"{'date': 1631836800, 'totalLiquidityUSD': 1615975576.9809046}"
"{'date': 1631923200, 'totalLiquidityUSD': 1548467933.9024398}"
"{'date': 1632009600, 'totalLiquidityUSD': 1559363188.0308135}"
"{'date': 1632096000, 'totalLiquidityUSD': 1515390313.378299}"
"{'date': 1632182400, 'totalLiquidityUSD': 1326827446.5983605}"
"{'date': 1632268800, 'totalLiquidityUSD': 1261760786.1697836}"
"{'date': 1632355200, 'totalLiquidityUSD': 1380296110.5926793}"
