tvl
"{'date': 1583276400, 'totalLiquidityUSD': 150595281.21539012}"
"{'date': 1583362800, 'totalLiquidityUSD': 146532048.05569628}"
"{'date': 1583449200, 'totalLiquidityUSD': 150132555.3674411}"
"{'date': 1583535600, 'totalLiquidityUSD': 146644602.25946495}"
"{'date': 1583622000, 'totalLiquidityUSD': 148971401.3324062}"
"{'date': 1583708400, 'totalLiquidityUSD': 138904548.33165622}"
"{'date': 1583794800, 'totalLiquidityUSD': 119729731.11573745}"
"{'date': 1583881200, 'totalLiquidityUSD': 108219999.46446174}"
"{'date': 1583967600, 'totalLiquidityUSD': 103982531.58193554}"
"{'date': 1584054000, 'totalLiquidityUSD': 77358611.11690992}"
"{'date': 1584140400, 'totalLiquidityUSD': 79393236.37931919}"
"{'date': 1584226800, 'totalLiquidityUSD': 78666277.63691829}"
"{'date': 1584313200, 'totalLiquidityUSD': 75567324.32240938}"
"{'date': 1584399600, 'totalLiquidityUSD': 66239689.0801915}"
"{'date': 1584486000, 'totalLiquidityUSD': 70682345.46360491}"
"{'date': 1584572400, 'totalLiquidityUSD': 70125699.16679852}"
"{'date': 1584658800, 'totalLiquidityUSD': 73733984.66817625}"
"{'date': 1584745200, 'totalLiquidityUSD': 83554018.9295091}"
"{'date': 1584831600, 'totalLiquidityUSD': 76651586.84152576}"
"{'date': 1584918000, 'totalLiquidityUSD': 77048573.57029471}"
"{'date': 1585004400, 'totalLiquidityUSD': 74175137.43049881}"
"{'date': 1585090800, 'totalLiquidityUSD': 79396753.80952309}"
"{'date': 1585177200, 'totalLiquidityUSD': 79489442.7731871}"
"{'date': 1585263600, 'totalLiquidityUSD': 87474178.8776782}"
"{'date': 1585350000, 'totalLiquidityUSD': 87033475.64157273}"
"{'date': 1585436400, 'totalLiquidityUSD': 85814214.8920724}"
"{'date': 1585519200, 'totalLiquidityUSD': 85728271.98117872}"
"{'date': 1585605600, 'totalLiquidityUSD': 86222354.21016341}"
"{'date': 1585692000, 'totalLiquidityUSD': 85724094.84082317}"
"{'date': 1585778400, 'totalLiquidityUSD': 86756714.9101335}"
"{'date': 1585864800, 'totalLiquidityUSD': 87651996.39728296}"
"{'date': 1585951200, 'totalLiquidityUSD': 90111373.12352175}"
"{'date': 1586037600, 'totalLiquidityUSD': 89680523.74317859}"
"{'date': 1586124000, 'totalLiquidityUSD': 90137542.94834349}"
"{'date': 1586210400, 'totalLiquidityUSD': 91445240.84327367}"
"{'date': 1586296800, 'totalLiquidityUSD': 97973773.66779643}"
"{'date': 1586383200, 'totalLiquidityUSD': 95972677.13325705}"
"{'date': 1586469600, 'totalLiquidityUSD': 96864355.27319348}"
"{'date': 1586556000, 'totalLiquidityUSD': 91013147.93521701}"
"{'date': 1586642400, 'totalLiquidityUSD': 90820359.38310675}"
"{'date': 1586728800, 'totalLiquidityUSD': 90061124.8714544}"
"{'date': 1586815200, 'totalLiquidityUSD': 89386769.72747447}"
"{'date': 1586901600, 'totalLiquidityUSD': 90661174.87666087}"
"{'date': 1586988000, 'totalLiquidityUSD': 90851528.13920766}"
