date,totalLiquidityUSD
1623196800,85253727481.19563
1623283200,86617337699.81975
1623369600,85400155960.78217
1623456000,84066734492.75612
1623542400,82884402318.1178
1623628800,86338610925.8762
1623715200,88734620341.21991
1623801600,88454350755.31242
1623888000,86822002932.7927
1623974400,84700745789.21408
1624060800,83274731595.31567
1624147200,82804738675.08882
1624233600,75669108590.72414
1624320000,71771597245.89375
1624406400,71822366403.86401
1624492800,74068033526.29178
1624579200,73273864385.2122
1624665600,71443793706.06631
1624752000,70811592695.2488
1624838400,75656425963.7822
1624924800,78010859159.07469
1625011200,80664723673.25296
1625097600,80219590458.3842
1625184000,80165930274.4938
1625270400,80819185010.41525
1625356800,84089777192.14912
1625443200,85825311835.20238
1625529600,85468124819.06714
1625616000,87490359891.3484
1625702400,88618538908.44533
1625788800,86718535132.54976
1625875200,85833872721.23245
1625961600,86891004027.63622
1626048000,85886866104.14421
1626134400,83966309658.0423
1626220800,83330047105.39899
1626307200,82511082618.38205
1626393600,80208676793.10286
1626480000,80027561982.8264
1626566400,80719255129.31575
1626652800,80051344629.52151
1626739200,78088551055.12302
1626825600,78483960685.5372
1626912000,81933398033.51578
1626998400,82563019411.69263
1627084800,84349091025.01959
1627171200,85160823780.39403
1627257600,86902801976.53409
1627344000,85969511168.74786
1627430400,87189045929.81827
1627516800,86750729283.76927
1627603200,89009117285.44128
1627689600,90859071809.81046
1627776000,92510728417.19919
1627862400,92582990603.04468
1627948800,92098514176.69691
1628035200,93057863142.95757
1628121600,95983138062.23521
1628208000,98173909552.17601
1628294400,99651475538.412
1628380800,102671064130.1712
1628467200,103315644848.20955
1628553600,104752434176.32393
1628640000,103409462631.03444
1628726400,104485809113.0917
1628812800,106395819118.18343
1628899200,108544548215.74
1628985600,109001959100.6285
1629072000,108510370824.57426
1629158400,107070685394.97293
1629244800,106308359059.50891
1629331200,108527484423.44568
1629417600,111559775734.55171
1629504000,113994992505.24783
1629590400,113702750431.83482
1629676800,115154705791.9912
1629763200,115256436640.61096
1629849600,109825056230.02547
1629936000,112151581934.19344
1630022400,112660655029.33765
1630108800,114799560924.54205
1630195200,114986059283.6231
1630281600,114135820317.76657
1630368000,115834681918.90211
1630454400,120507870371.90996
1630540800,126211428524.1067
1630627200,127424223027.84906
1630713600,126327694174.23312
1630800000,129959491956.39673
1630886400,131378370591.98601
1630972800,126233867686.09074
1631059200,121078201850.54034
1631145600,119976944212.31818
1631232000,117738823773.18347
1631318400,115468332271.57089
1631404800,117055448789.64183
1631491200,117737605613.55116
1631577600,117860700670.5156
1631664000,123042607633.27986
1631750400,125241727405.90611
1631836800,123777471558.43604
1631923200,122843986526.07864
1632009600,122733480300.8564
1632096000,116731397536.03526
1632182400,108338908194.74303
1632268800,109079747210.94162
1632355200,113869648577.52965
1632441600,113212137320.64485
1632528000,110824205730.93967
1632614400,112086726845.21548
1632700800,113248276219.42384
1632787200,110679294012.7603
1632873600,109466965964.09015
1632960000,112133768414.49423
1633046400,116135753054.5904
1633132800,120645047532.43457
1633219200,122360930466.87454
